,Company name,City,Region,Date of incorporation,Release date,"Fixed assets
th EUR
2019","Fixed assets
th EUR
2018","Fixed assets
th EUR
2017","Fixed assets
th EUR
2016","Fixed assets
th EUR
2015","Fixed assets
th EUR
2014","Fixed assets
th EUR
2013","Fixed assets
th EUR
2012","Fixed assets
th EUR
2011","Fixed assets
th EUR
2010","Number of employees
2019","Number of employees
2018","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Costs of employees
th EUR
2019","Costs of employees
th EUR
2018","Costs of employees
th EUR
2017","Costs of employees
th EUR
2016","Costs of employees
th EUR
2015","Costs of employees
th EUR
2014","Costs of employees
th EUR
2013","Costs of employees
th EUR
2012","Costs of employees
th EUR
2011","Costs of employees
th EUR
2010","Material costs
th EUR
2019","Material costs
th EUR
2018","Material costs
th EUR
2017","Material costs
th EUR
2016","Material costs
th EUR
2015","Material costs
th EUR
2014","Material costs
th EUR
2013","Material costs
th EUR
2012","Material costs
th EUR
2011","Material costs
th EUR
2010","Sales
th EUR
2019","Sales
th EUR
2018","Sales
th EUR
2017","Sales
th EUR
2016","Sales
th EUR
2015","Sales
th EUR
2014","Sales
th EUR
2013","Sales
th EUR
2012","Sales
th EUR
2011","Sales
th EUR
2010"
55.,BYK-CHEMIE GMBH,WESEL,Wesel,16/12/1983,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1001,959,924,883,858,789,754,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
56.,DOMO CAPROLEUNA GMBH,LEUNA,Saalekreis,19/10/1993,04/2020,n.a.,182149,204798,192346,214713,218064,221915,224721,210363,212256,n.a.,453,454,475,478,462,456,n.a.,453,n.a.,n.a.,34174,33923,34116,33562,31603,29043,28159,27714,25308,n.a.,430674,408831,344146,419707,509526,528475,558017,463471,424990,n.a.,614203,598177,460549,552313,641780,652240,710084,667815,560156
57.,VESTOLIT GMBH,MARL,Recklinghausen,01/06/1999,04/2020,n.a.,179741,n.a.,192548,198930,219760,227671,80017,80017,85357,n.a.,702,n.a.,688,684,692,692,n.a.,n.a.,n.a.,n.a.,62867,n.a.,62618,61664,55046,18953,n.a.,n.a.,n.a.,n.a.,387700,n.a.,310500,264100,283000,108000,n.a.,n.a.,n.a.,n.a.,614598,n.a.,509987,441070,449201,148633,n.a.,n.a.,n.a.
58.,BRASKEM EUROPE GMBH,FRANKFURT,Frankfurt am Main,01/06/2011,04/2020,n.a.,357214,359786,359416,360282,362701,367295,371428,n.a.,n.a.,n.a.,192,177,193,186,170,152,126,n.a.,n.a.,n.a.,19336,21067,22254,19037,18830,15090,12132,n.a.,n.a.,n.a.,549729,532129,445695,510868,623061,553549,579019,n.a.,n.a.,n.a.,617078,689924,627145,631308,685226,583911,625353,n.a.,n.a.
59.,URENCO DEUTSCHLAND GMBH,GRONAU,Borken,17/05/1993,04/2020,n.a.,403720,476695,543032,604660,672177,739005,807293,886380,817886,n.a.,271,277,275,269,260,245,252,252,247,n.a.,26673,25716,29221,24329,22220,20931,20168,18827,19475,n.a.,34975,58586,76006,23327,54596,35309,35215,20839,6307,n.a.,413016,430319,454654,412714,367193,330062,444556,371743,317167
60.,H E X A L AKTIENGESELLSCHAFT,HOLZKIRCHEN,Miesbach,21/12/1990,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,600,600,600,600,600,600,600,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
61.,VETTER PHARMA-FERTIGUNG GMBH & CO. KG,RAVENSBURG,Ravensburg,21/02/1984,04/2020,n.a.,562163,462629,369093,302967,263247,257842,260339,261619,224663,n.a.,4212,4116,3900,3624,3342,3598,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,594950,562063,n.a.,461695,421065,405000,n.a.,n.a.,n.a.
62.,PPG INDUSTRIES LACKFABRIK GMBH,WUPPERTAL,Wuppertal,23/11/1995,04/2020,n.a.,43665,46074,47421,46194,43684,39957,41855,44536,52589,n.a.,989,1013,1065,1022,1024,1069,1092,1005,1020,n.a.,85195,88567,84748,85079,85451,80829,61950,71689,70294,n.a.,27337,35361,52519,51077,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,557572,560617,568700,563423,563457,538019,516343,494012,454458
63.,SKW STICKSTOFFWERKE PIESTERITZ GMBH,LUTHERSTADT WITTENBERG,Sachsen-Anhalt,24/02/1993,04/2020,n.a.,412220,405213,n.a.,247315,199952,175286,146908,116837,90909,n.a.,798,784,n.a.,789,792,846,824,724,711,n.a.,57439,60614,n.a.,61382,55652,48914,50190,47457,46014,n.a.,413130,306549,n.a.,352774,379625,491600,436924,386909,303056,n.a.,555172,479711,n.a.,605808,605031,686805,707449,633871,504251
64.,BRILLUX GMBH & CO. KOMMANDITGESELLSCHAFT,MöNSTER,MÅnster,1889,04/2020,n.a.,392930,354200,347147,326207,294979,272028,264375,275841,258398,n.a.,2824,2757,2693,2660,2616,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,545221,532327,521050,520391,519185,487527,n.a.,n.a.,n.a.
65.,MEDAC GESELLSCHAFT FöR KLINISCHE SPEZIALPRéPARATE M.B.H.,WEDEL,Pinneberg,13/03/1970,04/2020,n.a.,144585,132013,71853,68503,72809,69955,66687,61971,58481,n.a.,1719,1715,1416,1311,1203,1082,961,811,720,n.a.,121426,106275,100666,93428,82691,70819,62444,55198,47333,n.a.,121970,108384,105111,88082,78684,91917,106701,91098,95103,n.a.,446987,429546,422352,375024,330426,319782,296601,284937,260874
66.,KLK EMMERICH GMBH,EMMERICH,Kleve,24/03/2010,04/2020,n.a.,124333,127961,119204,76621,68288,61917,37866,25436,n.a.,n.a.,417,412,403,230,231,119,226,205,n.a.,n.a.,36137,33265,31619,19793,17574,16225,15164,14240,n.a.,n.a.,413970,496790,409687,297581,267815,223866,221676,250799,n.a.,n.a.,538212,617724,518007,356519,312155,254643,246946,288082,n.a.
67.,SYNTHOMER DEUTSCHLAND GMBH,MARL,Recklinghausen,15/01/2003,04/2020,n.a.,189741,175378,148463,143182,153724,162917,173064,188385,234115,n.a.,673,642,640,655,659,504,498,476,468,n.a.,63287,60612,64056,60730,54012,50160,40398,46952,42688,n.a.,306036,341004,262911,287831,347584,376223,347546,318854,258118,n.a.,522614,554273,482893,492433,542408,568456,503743,482619,407791
68.,RENOLIT SE,WORMS,Worms,21/06/1948,04/2020,n.a.,276989,247985,247314,251092,265082,273095,287398,260363,287898,n.a.,1910,1845,1811,1801,1778,1767,1786,1362,1381,n.a.,151538,142145,139072,134512,131030,120968,116548,83895,85397,n.a.,203799,194468,165873,176747,187625,188035,184634,133910,128997,n.a.,461758,460162,428082,432478,417548,410290,409333,293029,294170
69.,INEOS SOLVENTS GERMANY GMBH,MOERS,Wesel,28/11/2013,04/2020,n.a.,72687,76071,72073,3455,1628,n.a.,n.a.,n.a.,n.a.,n.a.,455,440,442,479,507,n.a.,n.a.,n.a.,n.a.,n.a.,44252,38517,38585,45427,23264,n.a.,n.a.,n.a.,n.a.,n.a.,362508,367895,239971,228894,167499,n.a.,n.a.,n.a.,n.a.,n.a.,449338,453099,367193,325093,219208,n.a.,n.a.,n.a.,n.a.
70.,DR. FALK PHARMA GMBH,FREIBURG,Freiburg im Breisgau,1959,04/2020,n.a.,95952,82922,62372,98840,23001,17695,19786,n.a.,n.a.,n.a.,775,682,629,589,606,591,568,n.a.,n.a.,n.a.,51743,43998,39981,40915,37125,34981,33240,n.a.,n.a.,n.a.,124469,113313,102686,91305,89229,84483,74855,n.a.,n.a.,n.a.,424209,382676,355787,345159,313999,299851,274918,n.a.,n.a.
71.,COLEP LAUPHEIM GMBH & CO. KG,LAUPHEIM,Biberach,02/12/1998,04/2020,n.a.,n.a.,188757,192693,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2939,2805,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,59275,59561,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,253377,270545,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,411229,422136,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
72.,CP GABA GMBH,HAMBURG,"Hamburg, Freie und Hansestadt",23/10/1997,04/2020,n.a.,94977,93863,93864,93868,93875,93860,86950,86950,86950,n.a.,126,120,126,128,133,n.a.,n.a.,n.a.,n.a.,n.a.,16267,14410,13305,14441,17180,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,411808,379157,371769,352653,351027,n.a.,n.a.,n.a.,n.a.
73.,RöTGERS GERMANY GMBH,CASTROP-RAUXEL,Recklinghausen,26/03/1992,04/2020,n.a.,n.a.,n.a.,111569,101925,98607,101938,105849,101822,75173,n.a.,n.a.,n.a.,649,667,676,682,656,650,549,n.a.,n.a.,n.a.,48968,61360,53697,50796,47936,44008,41790,n.a.,n.a.,n.a.,194669,253962,338013,349509,382518,374835,295407,n.a.,n.a.,n.a.,397906,461665,528591,537763,573940,576690,477187
74.,DôHLER GMBH,DARMSTADT,Darmstadt,13/07/2015,04/2020,n.a.,n.a.,117766,84930,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1311,1223,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,88610,81583,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,224551,210644,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,399563,380777,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
75.,SIMONA AKTIENGESELLSCHAFT,KIRN,Bad Kreuznach,22/05/1857,04/2020,n.a.,n.a.,144646,151200,148308,139231,90042,92077,90532,89443,n.a.,n.a.,1231,1237,1239,1284,1150,1201,1198,1167,n.a.,n.a.,74830,72398,70801,64212,56240,57303,58620,55876,n.a.,n.a.,217525,195084,200678,191602,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,394145,366675,360332,336558,287893,293230,308499,267402
76.,BAERLOCHER GMBH,UNTERSCHLEI·HEIM,"MÅnchen, Landkreis",1835,04/2020,n.a.,114783,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1004,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,54718,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,260821,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,395322,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
77.,BERZELIUS STOLBERG GMBH,STOLBERG,StÑdteregion Aachen,10/07/1942,04/2020,n.a.,63767,67145,67133,68011,63624,46742,41956,40057,41278,n.a.,276,274,262,250,237,221,208,201,192,n.a.,23287,21688,20010,19038,16889,15715,14325,13628,12693,n.a.,356671,436907,457717,440667,374518,396384,441608,456347,368213,n.a.,389574,509618,571814,495221,391275,443708,545911,577711,415949
78.,SIEGWERK DRUCKFARBEN AG & CO. KGAA,SIEGBURG,Rhein-Sieg,1840,04/2020,n.a.,440295,423378,429982,415715,405353,387267,394407,411542,366257,n.a.,1018,1069,1074,1068,1027,1071,1030,1016,986,n.a.,82344,86777,81246,82873,75130,74834,69480,64320,71295,n.a.,204912,199410,207968,247709,236550,239461,240557,266190,226720,n.a.,391510,381760,394680,434793,413811,412841,414665,428048,388216
79.,STOHAAS MONOMER OHG,MARL,Recklinghausen,19/12/2000,04/2020,n.a.,n.a.,n.a.,n.a.,34677,35035,37319,42761,46761,52494,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,390762,490622,496189,496054,472270,419547
80.,ALZCHEM GROUP AG,TROSTBERG,Traunstein,10/10/1984,04/2020,177033,145155,n.a.,105653,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1498,1437,n.a.,1344,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,122088,55560,n.a.,112307,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,140304,73932,n.a.,124056,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,376072,179976,n.a.,327185,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
81.,LEHMANN & VOSS & CO. KG,HAMBURG,"Hamburg, Freie und Hansestadt",08/08/1894,04/2020,n.a.,31610,32012,37700,39047,23567,20673,21744,20663,17611,n.a.,610,567,551,532,454,400,367,368,348,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,384000,360000,344204,316481,294307,n.a.,n.a.,n.a.,n.a.
82.,EQUIPOLYMERS GMBH,SCHKOPAU,Saalekreis,15/05/2003,04/2020,n.a.,18717,23967,30642,37548,44479,61108,80284,98307,120628,n.a.,1,1,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,298738,258742,232733,251361,274137,319165,326469,337048,260280,n.a.,367899,314695,278250,302900,333967,375823,394143,407059,339296
83.,DRALON GMBH,DORMAGEN,Neuss,02/08/2000,04/2020,n.a.,56751,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,628,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,47699,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,264835,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,368909,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
84.,DEUTSCHE INFINEUM GMBH & CO. KG,KôLN,Kîln,20/08/1998,04/2020,n.a.,25777,21753,18617,12819,9002,6924,6058,5560,5370,n.a.,158,154,152,143,141,146,146,148,151,n.a.,15828,15269,14870,13734,13503,13205,13797,12186,13311,n.a.,296798,310490,274422,296187,345076,327840,340332,287410,245112,n.a.,360203,379397,347176,370837,411605,395533,410384,347504,305994
85.,JOHNSON & JOHNSON GMBH,NEUSS,Neuss,01/06/1948,04/2020,n.a.,37957,35350,33128,29481,26242,23658,20044,18991,19135,n.a.,709,726,716,750,744,736,731,768,751,n.a.,81607,71091,64787,75574,70245,63477,56305,62028,52506,n.a.,146655,147547,154516,126364,111829,42870,44863,45332,44354,n.a.,354019,359400,357677,324543,302287,225857,209472,228580,219710
86.,BIONORICA SE,NEUMARKT,Neumarkt,18/05/1987,04/2020,n.a.,138353,114245,103776,96831,78870,62943,50524,40612,32854,n.a.,1650,1524,1455,1416,1389,1247,1085,968,904,n.a.,95632,87119,80503,76577,71675,62522,54027,46515,42368,n.a.,25552,26609,19707,19695,16090,16704,13773,10286,10787,n.a.,337855,296934,253077,246679,229065,234541,203720,172023,148863
87.,CERDIA PRODUKTIONS GMBH,FREIBURG,Freiburg im Breisgau,15/10/1927,04/2020,n.a.,156683,151901,157865,155135,149812,138307,137046,134742,133876,n.a.,735,751,770,780,794,787,778,783,789,n.a.,64610,36341,64114,62941,62206,59709,57123,56347,52395,n.a.,149636,89950,150345,149651,167523,192903,193668,188276,169456,n.a.,328882,216498,396011,390402,438748,457422,414606,387722,356628
88.,VESUVIUS GMBH,BORKEN,Borken,24/01/1952,04/2020,n.a.,39117,39354,42531,41119,42434,41616,57585,31885,31774,n.a.,1033,1039,981,997,997,991,851,821,793,n.a.,78591,78535,68837,75305,69553,70630,57868,57880,51832,n.a.,181840,188020,161208,167106,172633,173759,157762,165179,139749,n.a.,343641,343511,301816,305961,316524,317251,279596,297508,258105
89.,NATURAL ENERGY WEST GMBH,NEUSS,Neuss,14/02/2001,04/2020,n.a.,n.a.,3007,3133,1633,2436,3243,4169,5615,7695,n.a.,n.a.,19,17,n.a.,18,18,n.a.,n.a.,n.a.,n.a.,n.a.,1441,1313,1425,1314,1240,1251,1274,1215,n.a.,n.a.,335552,216154,225604,434306,365595,344052,353153,245904,n.a.,n.a.,346151,230065,242289,453424,377519,353671,365792,258902
90.,UMICORE GALVANOTECHNIK GMBH,SCHWéBISCH GMöND,Ostalbkreis,20/01/1982,04/2020,n.a.,8661,7852,7922,7693,7529,7312,7359,7252,7085,n.a.,183,175,177,181,178,176,174,169,173,n.a.,16848,16500,14392,15896,14392,13368,13344,12460,12414,n.a.,301202,261852,207105,212802,214724,240842,241942,249568,221972,n.a.,341947,301783,242376,245956,247492,274351,271279,277608,247373
91.,EURIMPHARM ARZNEIMITTEL GMBH,SAALDORF-SURHEIM,Berchtesgadener Land,15/06/2001,04/2020,n.a.,n.a.,1428,1562,1594,1503,1433,1454,1428,1359,n.a.,n.a.,47,52,48,43,43,45,45,45,n.a.,n.a.,2138,2238,1899,1740,1622,1604,1464,2036,n.a.,n.a.,309666,293523,306924,340753,272955,312034,341086,371750,n.a.,n.a.,343062,318850,325841,373655,304105,339842,366783,401588
92.,ALZCHEM TROSTBERG GMBH,TROSTBERG,Traunstein,29/12/2017,04/2020,n.a.,n.a.,n.a.,105654,99501,89682,55670,44029,33497,18594,n.a.,n.a.,n.a.,1344,1359,1313,1274,1205,1132,1105,n.a.,n.a.,n.a.,106051,98757,93899,91429,86283,77521,72913,n.a.,n.a.,n.a.,124056,132143,119937,129020,119775,122680,110121,n.a.,n.a.,n.a.,327185,322554,290658,294436,282436,266077,252257
93.,FERRING GMBH,KIEL,Kiel,21/02/1980,04/2020,n.a.,41330,40756,38936,25324,20324,19727,17404,17692,19096,n.a.,349,331,328,312,303,261,230,205,193,n.a.,24539,21937,21841,20669,18809,16420,13960,12260,11691,n.a.,268562,161168,161532,153444,128544,119456,119400,104977,96962,n.a.,329410,216001,208901,194286,170010,159725,156596,133451,114144
94.,DR. THEISS NATURWAREN GMBH,HOMBURG,Saarpfalz,1978,04/2020,n.a.,n.a.,76529,64832,77311,80863,66507,65200,70408,64282,n.a.,n.a.,1578,1539,1573,1460,1422,1508,1489,1435,n.a.,n.a.,41901,39055,37775,34729,31206,31236,29025,29462,n.a.,n.a.,88576,88227,86628,58796,62267,65504,60229,73360,n.a.,n.a.,318617,268800,243447,207028,209417,214009,215695,221288
95.,VETTER PHARMA INTERNATIONAL GMBH,RAVENSBURG,Ravensburg,04/02/2009,04/2020,n.a.,n.a.,10646,1542,1263,1122,824,822,817,818,n.a.,n.a.,84,81,83,61,54,51,49,48,n.a.,n.a.,8614,8610,7543,6511,5433,4969,4578,4733,n.a.,n.a.,297832,221460,182176,142521,59373,41966,n.a.,n.a.,n.a.,n.a.,324535,247181,191764,150022,62498,44174,n.a.,n.a.
96.,JOWAT SE,DETMOLD,Lippe,1919,04/2020,n.a.,109284,89385,79872,77244,74516,61612,57168,53635,49702,n.a.,1147,1050,984,973,911,n.a.,777,731,676,n.a.,65555,64176,60961,56440,50230,47386,43927,38617,35350,n.a.,192692,189591,168308,168164,156140,147788,149851,140273,129214,n.a.,317322,311581,287450,275202,256523,241013,233519,216703,200175
97.,POLYPLAST MöLLER GMBH,STRAELEN,Kleve,20/08/1981,04/2020,n.a.,77082,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,676,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,40557,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,226494,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,319414,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
98.,DOW SILICONES DEUTSCHLAND GMBH,WIESBADEN,Wiesbaden,1909,04/2020,n.a.,43634,n.a.,38068,37702,33011,34273,35569,36441,35866,n.a.,284,n.a.,320,327,332,345,355,362,350,n.a.,24696,n.a.,28308,26385,25564,28617,30592,26694,26291,n.a.,258994,n.a.,225748,196031,179282,196430,205000,253115,259357,n.a.,307198,n.a.,306658,259501,245212,258962,262840,324475,325245
99.,ZYTOSERVICE DEUTSCHLAND GMBH,HAMBURG,"Hamburg, Freie und Hansestadt",05/09/2007,04/2020,n.a.,28800,33841,35989,40185,41851,45545,46016,46593,48816,n.a.,255,289,274,240,220,200,162,140,120,n.a.,11570,13606,17310,12138,11378,10630,9115,7658,6681,n.a.,238245,189414,175421,140890,129041,103299,91744,66513,59930,n.a.,293411,241016,219569,175517,160669,130916,118436,89725,83425
100.,TOKAI ERFTCARBON GMBH,GREVENBROICH,Neuss,29/08/1997,04/2020,n.a.,27521,26342,26909,28394,29709,30600,30547,27778,23843,n.a.,177,161,165,173,182,181,184,184,179,n.a.,18194,14411,11936,13410,12641,13076,13415,12873,12785,n.a.,112,40843,34370,48746,62863,63108,76276,73027,69520,n.a.,291508,75735,67804,73518,94463,79993,112777,108911,105672
101.,L'ORêAL PRODUKTION DEUTSCHLAND GMBH & CO. KG,KARLSRUHE,Karlsruhe,07/12/1998,04/2020,n.a.,64399,70788,67020,55509,49943,70993,69287,64024,65312,n.a.,406,402,379,378,389,389,368,343,351,n.a.,33591,31079,26848,30306,26530,24486,23143,21681,21708,n.a.,185289,189555,180591,166277,167852,158093,140446,123839,122228,n.a.,291149,291937,277321,259447,263911,240419,219946,190944,196332
102.,WERNER & MERTZ GMBH,MAINZ,Mainz,1867,04/2020,n.a.,82101,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,944,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,68934,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,286644,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
103.,EUROIMMUN MEDIZINISCHE LABORDIAGNOSTIKA AG,LöBECK,LÅbeck,10/09/1987,04/2020,n.a.,n.a.,123479,115080,89698,76390,65618,56391,42822,38228,n.a.,n.a.,2412,2152,1914,1709,1446,1230,1044,918,n.a.,n.a.,123144,109195,93242,78681,66594,59143,46846,40228,n.a.,n.a.,41250,30626,29097,22314,21241,18405,15132,14197,n.a.,n.a.,284004,239672,205829,175212,148350,124159,99599,87235
104.,BIESTERFELD PLASTIC GMBH,HAMBURG,"Hamburg, Freie und Hansestadt",12/10/1988,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,78,78,78,83,81,71,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
105.,HAEMATO PHARM GMBH,SCHôNEFELD,Dahme-Spreewald,30/05/2005,04/2020,n.a.,12802,7778,8378,9865,3744,4025,1988,1593,1238,n.a.,101,195,181,173,145,120,94,71,51,n.a.,5867,5807,5505,5144,4457,3935,2951,2047,1525,n.a.,252171,269442,255733,213848,185637,202762,n.a.,n.a.,n.a.,n.a.,273427,289531,275602,229722,202675,217045,n.a.,n.a.,n.a.
106.,BASELL BAYREUTH CHEMIE GMBH,WESSELING,Rhein-Erft-Kreis,26/06/1986,04/2020,n.a.,14230,14628,13805,12222,12537,12862,12872,9785,10278,n.a.,137,2,131,133,134,137,135,130,135,n.a.,15134,n.a.,10976,15267,12679,12368,10504,10605,11968,n.a.,220728,n.a.,197037,206321,209946,197098,189686,194751,164445,n.a.,270736,n.a.,244937,246562,254681,235255,224488,226692,192136
107.,DENTSPLY DE TREY GMBH,KONSTANZ,Konstanz,07/06/1921,04/2020,n.a.,11899,13266,14686,16799,19414,21231,21710,40513,45387,n.a.,309,359,347,338,340,340,329,328,324,n.a.,27,27043,26460,27391,27236,25451,22403,22108,20571,n.a.,125,118524,122480,119607,106312,93204,84075,78231,77210,n.a.,252392,222982,221591,205572,184575,172373,155416,149485,143864
108.,KAO CHEMICALS GMBH,EMMERICH,Kleve,27/06/1947,04/2020,n.a.,21963,23017,25039,27304,28332,29155,35029,36665,38366,n.a.,214,216,213,209,213,209,211,212,210,n.a.,20404,19421,17135,19673,18433,16819,16767,17371,16386,n.a.,188865,193376,156084,143458,160814,139430,183285,179386,142927,n.a.,261291,257592,220649,206542,214444,199282,231893,233116,197915
109.,KARL WôRWAG LACK- UND FARBENFABRIK GMBH & CO. KG,KORNTAL-MöNCHINGEN,Stuttgart,13/12/1999,04/2020,n.a.,84626,69564,59931,52571,44017,41182,37551,35622,34500,n.a.,1076,990,971,946,874,788,773,725,671,n.a.,66942,62467,60656,56400,49619,47265,44481,40535,38001,n.a.,118138,110323,103980,107962,99618,94459,93559,90340,78279,n.a.,248585,240923,229019,232516,206929,190851,186937,177058,152455
110.,HEXCEL COMPOSITES GMBH,STADE,Stade,18/08/1996,04/2020,n.a.,36563,37916,38899,32691,26482,16987,14282,11707,4105,n.a.,124,108,81,63,55,42,34,25,21,n.a.,7964,6947,5155,3941,3115,2652,2002,1565,1301,n.a.,217319,235162,223207,141694,97644,82507,75161,n.a.,42900,n.a.,250246,261916,246537,157224,109658,93228,85785,55447,46462
111.,INDORAMA GERMANY GMBH,HATTERSHEIM,Main-Taunus,29/07/2010,04/2020,n.a.,57532,53447,55111,58015,61306,62507,67289,73421,n.a.,n.a.,1019,1024,1043,1053,1068,1099,1192,1307,n.a.,n.a.,55585,54202,52470,51644,48807,47461,49356,23883,n.a.,n.a.,128345,124217,116751,134669,132129,142276,132628,61307,n.a.,n.a.,234478,244068,230693,257774,249969,249995,231703,113896,n.a.
112.,ESTêE LAUDER COMPANIES GMBH,MöNCHEN,"MÅnchen, Landeshauptstadt",13/12/1963,04/2020,n.a.,22647,22894,21490,22463,26093,24414,20101,17647,16828,n.a.,1370,1447,1274,1171,1085,981,889,791,743,n.a.,72631,72732,59191,56726,52022,48831,46695,45173,40044,n.a.,75582,77497,65684,57463,57726,54154,52005,38727,36699,n.a.,251728,262315,243151,199672,196629,188886,178704,151642,139623
